W_x,L_x,W_PCT_x,MIN_x,FGM_x,FGA_x,FG_PCT_x,FG3M_x,FG3A_x,FG3_PCT_x,FTM_x,FTA_x,FT_PCT_x,OREB_x,DREB_x,REB_x,AST_x,STL_x,BLK_x,TOV_x,PF_x,W_y,L_y,W_PCT_y,MIN_y,FGM_y,FGA_y,FG_PCT_y,FG3M_y,FG3A_y,FG3_PCT_y,FTM_y,FTA_y,FT_PCT_y,OREB_y,DREB_y,REB_y,AST_y,STL_y,BLK_y,TOV_y,PF_y,totalPoints
51,25,0.671,240,32,80,0.4,4,28,0.143,20,32,0.625,11,29,40,21,4,5,9,21,39,38,0.506,240,38,80,0.475,13,27,0.481,18,22,0.818,8,38,46,22,6,1,10,24,195
51,24,0.68,240,43,85,0.506,11,32,0.344,19,22,0.864,10,32,42,34,8,4,12,16,49,26,0.653,240,43,89,0.483,8,30,0.267,17,22,0.773,11,29,40,18,10,3,11,20,227
50,24,0.676,240,47,89,0.528,15,36,0.417,20,28,0.714,7,41,48,28,4,3,10,18,53,21,0.716,240,39,88,0.443,9,36,0.25,19,21,0.905,4,36,40,26,7,2,10,19,235
46,22,0.676,240,45,90,0.5,12,31,0.387,18,24,0.75,15,34,49,27,4,8,15,19,39,29,0.574,240,42,84,0.5,17,44,0.386,21,24,0.875,4,24,28,32,11,2,8,21,242
46,20,0.697,240,37,88,0.42,15,40,0.375,7,15,0.467,11,33,44,26,5,2,11,16,30,36,0.455,240,46,89,0.517,8,24,0.333,17,18,0.944,9,41,50,26,9,2,8,16,213
46,19,0.708,240,43,86,0.5,13,33,0.394,19,23,0.826,12,29,41,30,9,2,13,12,32,34,0.485,240,43,86,0.5,10,27,0.37,17,20,0.85,11,30,41,29,6,4,15,20,231
45,19,0.703,240,40,87,0.46,8,31,0.258,25,31,0.806,13,40,53,28,6,5,8,21,38,24,0.613,240,31,84,0.369,11,32,0.344,24,31,0.774,10,30,40,24,6,6,10,24,210
43,19,0.694,265,49,96,0.51,13,39,0.333,23,31,0.742,11,39,50,35,10,3,14,23,33,30,0.524,265,44,90,0.489,11,34,0.324,25,30,0.833,6,32,38,24,11,5,12,25,258
41,18,0.695,240,48,84,0.571,11,31,0.355,11,15,0.733,6,37,43,34,7,5,13,14,31,29,0.517,240,39,84,0.464,14,39,0.359,17,20,0.85,6,25,31,25,8,3,12,13,227
38,17,0.691,240,58,93,0.624,13,27,0.481,17,22,0.773,6,38,44,44,12,5,10,21,29,28,0.509,240,40,85,0.471,10,35,0.286,22,26,0.846,8,28,36,24,6,7,17,16,258
37,16,0.698,240,48,95,0.505,15,38,0.395,17,20,0.85,12,36,48,32,14,6,12,15,27,27,0.5,240,44,91,0.484,6,20,0.3,14,17,0.824,10,33,43,26,7,7,15,18,236
36,16,0.692,240,51,90,0.567,16,35,0.457,16,21,0.762,7,31,38,35,10,2,11,19,26,26,0.5,240,43,85,0.506,19,38,0.5,12,19,0.632,10,32,42,25,4,4,17,23,251
35,16,0.686,240,43,87,0.494,16,36,0.444,20,24,0.833,10,34,44,33,7,3,18,21,26,26,0.5,240,42,85,0.494,8,27,0.296,21,25,0.84,8,28,36,28,13,2,15,24,235
33,14,0.702,240,36,82,0.439,10,28,0.357,17,33,0.515,10,32,42,22,7,5,9,16,23,24,0.489,240,40,89,0.449,7,26,0.269,14,16,0.875,14,36,50,21,4,5,8,24,200
33,13,0.717,240,51,83,0.614,14,28,0.5,18,26,0.692,12,26,38,38,16,4,16,28,23,24,0.489,240,37,84,0.44,8,32,0.25,29,37,0.784,16,23,39,23,7,2,21,18,245
